player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Tim Ream,DF,United States,35-074,Fulham,1987,4,4,360,4,0,0,0,1,0
DeAndre Yedlin,DF,United States,29-162,Inter Miami,1993,2,0,33,0.4,0,0,0,0,0
Walker Zimmerman,DF,United States,29-213,Nashville,1993,4,3,279,3.1,0,0,0,0,0
Jordan Morris,FW,United States,28-053,Seattle,1994,2,0,4,0,0,0,0,0,0
Matt Turner,GK,United States,28-177,Arsenal,1994,4,4,360,4,0,0,0,0,0
Diego Godín,DF,Uruguay,36-305,Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0
Edinson Cavani,FW,Uruguay,35-307,Valencia,1987,3,1,124,1.4,0,0,0,1,0
Luis Suárez,FW,Uruguay,35-328,Nacional,1987,3,2,146,1.6,0,1,0,1,0
Martín Cáceres,DF,Uruguay,35-255,LA Galaxy,1987,1,1,90,1,0,0,0,1,0
Sebastián Coates,DF,Uruguay,32-072,Sporting CP,1990,2,2,180,2,0,0,0,1,0
Wayne Hennessey,GK,Wales,35-328,Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,1
Gareth Bale,FW,Wales,33-155,Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,0
Aaron Ramsey,MF,Wales,31-357,Nice,1990,3,3,266,3,0,0,0,1,0
Joe Allen,MF,Wales,32-279,Swansea City,1990,2,1,94,1,0,0,0,0,0
Kieffer Moore,FW,Wales,30-132,Bournemouth,1992,3,2,225,2.5,0,0,0,0,0
