player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Alexander Djiku,DF,Ghana,28-131,Strasbourg,1994,2,1,97,1.1,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-197,Clermont Foot,2000,2,2,155,1.7,0,0,0,2,0
André Ayew,MF,Ghana,33-001,Al Sadd SC,1989,3,3,198,2.2,1,0,1,1,0
Antoine Semenyo,FW,Ghana,22-345,Bristol City,2000,2,0,20,0.2,0,0,0,0,0
Baba Rahman,DF,Ghana,28-169,Reading,1994,3,2,183,2,0,0,0,0,0
Daniel Amartey,DF,Ghana,27-362,Leicester City,1994,3,3,251,2.8,0,0,0,2,0
Daniel Kyereh,MF,Ghana,26-285,Freiburg,1996,3,0,33,0.4,0,0,0,0,0
Denis Odoi,DF,Ghana,34-205,Club Brugge,1988,1,0,13,0.1,0,0,0,0,0
Gideon Mensah,DF,Ghana,24-153,Auxerre,1998,1,1,87,1,0,1,0,0,0
Iñaki Williams,FW,Ghana,28-186,Athletic Club,1994,3,3,270,3,0,0,0,0,0
Jordan Ayew,FW,Ghana,31-098,Crystal Palace,1991,3,2,136,1.5,0,1,0,0,0
Kamaldeen Sulemana,FW,Ghana,20-306,Rennes,2002,2,0,58,0.6,0,0,0,1,0
Kudus Mohammed,FW,Ghana,22-138,Ajax,2000,3,3,247,2.7,2,0,2,1,0
Lawrence Ati-Zigi,GK,Ghana,26-019,St. Gallen,1996,3,3,270,3,0,0,0,0,0
Mohammed Salisu,DF,Ghana,23-245,Southampton,1999,3,3,270,3,1,0,1,0,0
Osman Bukari,MF,Ghana,24-005,Red Star,1998,2,0,59,0.7,1,0,1,0,0
Salis Abdul Samed,MF,Ghana,22-267,Lens,2000,3,3,250,2.8,0,0,0,0,0
Tariq Lamptey,DF,Ghana,22-079,Brighton,2000,2,1,102,1.1,0,0,0,1,0
Thomas Partey,MF,Ghana,29-188,Arsenal,1993,3,3,270,3,0,0,0,0,0
Abolfazl Jalali,DF,IR Iran,24-175,Esteghlal,1998,1,0,19,0.2,0,0,0,1,0
Ahmad Nourollahi,MF,IR Iran,29-319,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-283,Charleroi,1996,3,2,199,2.2,0,1,0,0,0
Ali Karimi,MF,IR Iran,28-310,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0
Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,1992,2,2,109,1.2,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-129,Feyenoord,1993,2,1,59,0.7,0,0,0,2,0
Ehsan Hajsafi,MF,IR Iran,32-296,AEK Athens,1990,3,3,237,2.6,0,0,0,0,0
Hossein Hosseini,GK,IR Iran,30-171,Esteghlal,1992,2,1,161,1.8,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-270,Al Ahli SC,1994,1,0,45,0.5,0,0,0,1,0
Karim Ansarifard,FW,IR Iran,32-259,AC Omonia,1990,2,0,35,0.4,0,0,0,0,0
Majid Hosseini,DF,IR Iran,26-181,Kayserispor,1996,3,3,270,3,0,0,0,1,0
Mehdi Taremi,FW,IR Iran,30-153,Porto,1992,3,3,270,3,2,1,1,0,0
Mehdi Torabi,MF,IR Iran,28-099,Persepolis,1994,3,0,62,0.7,0,0,0,0,0
Milad Mohammadi,DF,IR Iran,29-080,AEK Athens,1993,3,3,196,2.2,0,0,0,0,0
Morteza Pouraliganji,DF,IR Iran,30-243,Persepolis,1992,3,3,270,3,0,0,0,1,0
Ramin Rezaeian,DF,IR Iran,32-272,Sepahan,1990,2,2,180,2,1,0,1,1,0
Roozbeh Cheshmi,DF,IR Iran,29-147,Esteghlal,1993,2,1,58,0.6,1,0,1,0,0
Sadegh Moharrami,DF,IR Iran,26-292,Dinamo Zagreb,1996,1,1,90,1,0,0,0,0,0
Saeid Ezatolahi,MF,IR Iran,26-078,Vejle BK,1996,3,2,217,2.4,0,0,0,0,0
Saman Ghoddos,MF,IR Iran,29-103,Brentford,1993,1,0,45,0.5,0,0,0,0,0
Sardar Azmoun,FW,IR Iran,27-351,Leverkusen,1995,3,2,126,1.4,0,0,0,0,0
Ao Tanaka,MF,Japan,24-099,Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0
Ayase Ueda,FW,Japan,24-099,Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0
Daichi Kamada,FW,Japan,26-135,Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0
Daizen Maeda,FW,Japan,25-059,Celtic,1997,3,3,180,2,1,0,1,0,0
Hidemasa Morita,MF,Japan,27-222,Sporting CP,1995,3,3,285,3.2,0,0,0,0,0
Hiroki Ito,DF,Japan,23-220,Stuttgart,1999,1,0,45,0.5,0,0,0,0,0
Hiroki Sakai,MF,Japan,32-250,Urawa Reds,1990,2,1,119,1.3,0,0,0,0,0
Junya Ito,MF,Japan,29-284,Reims,1993,4,3,324,3.6,0,1,0,0,0
Kaoru Mitoma,MF,Japan,25-212,Brighton,1997,4,0,165,1.8,0,1,0,0,0
Ko Itakura,DF,Japan,25-325,M'Gladbach,1997,3,3,270,3,0,1,0,2,0
Maya Yoshida,DF,Japan,34-116,Schalke 04,1988,4,4,390,4.3,0,1,0,1,0
Miki Yamane,DF,Japan,28-361,Kawa Frontale,1993,1,1,61,0.7,0,0,0,1,0
Ritsu Doan,FW,Japan,24-185,Freiburg,1998,4,2,217,2.4,2,0,2,0,0
Shogo Taniguchi,DF,Japan,31-156,Kawa Frontale,1991,2,2,210,2.3,0,0,0,1,0
Shūichi Gonda,GK,Japan,33-290,S-Pulse,1989,4,4,390,4.3,0,0,0,0,0
Takefusa Kubo,FW,Japan,21-197,Real Sociedad,2001,2,2,90,1,0,0,0,0,0
Takehiro Tomiyasu,DF,Japan,24-043,Arsenal,1998,3,1,187,2.1,0,0,0,0,0
Takuma Asano,FW,Japan,28-038,Bochum,1994,4,0,165,1.8,1,0,1,0,0
Takumi Minamino,FW,Japan,27-336,Monaco,1995,3,0,60,0.7,0,0,0,0,0
Wataru Endo,MF,Japan,29-312,Stuttgart,1993,4,3,304,3.4,0,0,0,1,0
Yuki Soma,FW,Japan,25-296,Grampus,1997,1,1,81,0.9,0,0,0,0,0
Yuto Nagatomo,MF,Japan,36-097,FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0
Cho Guesung,FW,Korea Republic,24-327,Jeonbuk,1998,4,3,275,3.1,2,0,2,1,0
Cho Yumin,FW,Korea Republic,26-031,Daejeon Citizen FC,1996,1,0,1,0,0,0,0,0,0
Hong Chul,DF,Korea Republic,32-092,Daegu,1990,1,0,45,0.5,0,0,0,0,0
Hwang Hee-chan,MF,Korea Republic,26-326,Wolves,1996,2,1,115,1.3,1,0,1,1,0
Hwang In-beom,MF,Korea Republic,26-089,Olympiacos,1996,4,4,334,3.7,0,0,0,0,0
Hwang Ui-jo,FW,Korea Republic,30-112,Olympiacos,1992,4,1,106,1.2,0,0,0,0,0
Jeong Woo-yeong,MF,Korea Republic,23-089,Freiburg,1999,1,1,45,0.5,0,0,0,0,0
Jung Woo-young,MF,Korea Republic,33-004,Al Sadd SC,1989,4,4,303,3.4,0,0,0,2,0
Kim Jin-su,DF,Korea Republic,30-188,Jeonbuk,1992,4,4,315,3.5,0,1,0,0,0
Kim Min-jae,DF,Korea Republic,26-033,Napoli,1996,3,3,269,3,0,0,0,0,0
Kim Moonhwan,DF,Korea Republic,27-139,Jeonbuk,1995,4,4,360,4,0,0,0,0,0
Kim Seung-gyu,GK,Korea Republic,32-079,Al-Shabab,1990,4,4,360,4,0,0,0,0,0
Kim Young-gwon,DF,Korea Republic,32-294,Ulsan Hyundai,1990,4,4,350,3.9,1,0,1,1,0
Kwon Chang-hoon,FW,Korea Republic,28-171,Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0
Kwon Kyung-won,DF,Korea Republic,30-321,Gamba Osaka,1992,2,1,91,1,0,0,0,0,0
Lee Jae-sung,MF,Korea Republic,30-130,Mainz 05,1992,3,3,211,2.3,0,0,0,0,0
Lee Kangin,MF,Korea Republic,21-302,Mallorca,2001,4,1,147,1.6,0,1,0,1,0
Na Sang-ho,FW,Korea Republic,26-128,FC Seoul,1996,2,1,119,1.3,0,0,0,0,0
Paik Seung-ho,MF,Korea Republic,25-276,Jeonbuk,1997,1,0,26,0.3,1,0,1,0,0
Son Heung-min,FW,Korea Republic,30-163,Tottenham,1992,4,4,360,4,0,1,0,0,0
Son Jun-ho,MF,Korea Republic,30-220,Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0
Alexis Vega,FW,Mexico,25-023,Guadalajara,1997,3,3,193,2.1,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-081,Betis,1986,1,1,41,0.5,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-349,Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0
César Montes,DF,Mexico,25-297,Monterrey,1997,3,3,270,3,0,1,0,0,0
Edson Álvarez,MF,Mexico,25-055,Ajax,1997,2,2,175,1.9,0,0,0,1,0
Erick Gutiérrez,MF,Mexico,27-186,PSV Eindhoven,1995,1,0,49,0.5,0,0,0,1,0
Guillermo Ochoa,GK,Mexico,37-158,América,1985,3,3,270,3,0,0,0,0,0
Henry Martín,FW,Mexico,30-030,América,1992,2,2,146,1.6,1,0,1,0,0
Hirving Lozano,FW,Mexico,27-141,Napoli,1995,3,3,252,2.8,0,0,0,0,0
Héctor Herrera,MF,Mexico,32-243,Houston Dynamo,1990,2,2,160,1.8,0,0,0,1,0
Héctor Moreno,DF,Mexico,34-335,Monterrey,1988,3,3,270,3,0,0,0,1,0
Jesús Gallardo,DF,Mexico,28-125,Monterrey,1994,3,3,270,3,0,0,0,0,0
Jorge Eduardo Sánchez,DF,Mexico,25-008,Ajax,1997,2,2,175,1.9,0,0,0,1,0
Kevin Álvarez,DF,Mexico,23-337,Pachuca,1999,2,1,70,0.8,0,0,0,0,0
Luis Chávez,MF,Mexico,26-337,Pachuca,1996,3,3,270,3,1,0,1,0,0
Néstor Araujo,DF,Mexico,31-111,América,1991,1,1,90,1,0,0,0,1,0
Orbelín Pineda,MF,Mexico,26-269,AEK Athens,1996,1,1,76,0.8,0,0,0,0,0
Raúl Jiménez,FW,Mexico,31-227,Wolves,1991,3,0,59,0.7,0,0,0,0,0
Roberto Alvarado,FW,Mexico,24-102,Guadalajara,1998,1,0,18,0.2,0,0,0,1,0
Rogelio Funes Mori,FW,Mexico,31-288,Monterrey,1991,1,0,5,0.1,0,0,0,0,0
Uriel Antuna,FW,Mexico,25-119,Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,26-020,Sampdoria,1996,5,2,181,2,0,1,0,1,0
Abderrazak Hamdallah,FW,Morocco,32-001,Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,21-001,Osasuna,2001,3,0,93,1,0,0,0,0,0
Achraf Dari,DF,Morocco,23-226,Brest,1999,3,2,187,2.1,1,0,1,1,0
Achraf Hakimi,DF,Morocco,24-044,Paris S-G,1998,7,7,631,7,0,1,0,0,0
Anass Zaroury,FW,Morocco,22-041,Burnley,2000,1,0,27,0.3,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,22-243,Angers,2000,7,6,568,6.3,0,0,0,1,0
Badr Banoun,DF,Morocco,29-079,Qatar SC,1993,3,0,54,0.6,0,0,0,0,0
Bilal El Khannous,MF,Morocco,18-222,Genk,2004,1,1,55,0.6,0,0,0,0,0
Hakim Ziyech,FW,Morocco,29-274,Chelsea,1993,7,7,635,7.1,1,1,1,0,0
Ilias Chair,MF,Morocco,25-049,QPR,1997,1,0,45,0.5,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-292,Valladolid,1992,6,3,309,3.4,0,0,0,0,0
Munir,GK,Morocco,33-222,Al-Wehda,1989,1,1,90,1,0,0,0,0,0
Nayef Aguerd,DF,Morocco,26-263,West Ham,1996,4,4,353,3.9,0,0,0,0,0
Noussair Mazraoui,DF,Morocco,25-034,Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0
Romain Saïss,DF,Morocco,32-267,Beşiktaş,1990,6,6,466,5.2,1,0,1,1,0
Selim Amallah,MF,Morocco,26-033,Standard Liège,1996,7,4,409,4.5,0,0,0,1,0
Sofiane Boufal,FW,Morocco,29-092,Angers,1993,7,7,475,5.3,0,0,0,1,0
Sofyan Amrabat,MF,Morocco,26-119,Fiorentina,1996,7,7,660,7.3,0,0,0,1,0
Walid Cheddira,FW,Morocco,24-330,Bari,1998,2,0,64,0.7,0,0,0,2,1
Yahya Attiat Allah,DF,Morocco,27-291,Wydad Casablanca,1995,6,2,318,3.5,0,1,0,0,0
Yahya Jabrane,MF,Morocco,31-183,Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0
Yassine Bounou,GK,Morocco,31-257,Sevilla,1991,6,6,570,6.3,0,0,0,0,0
Youssef En-Nesyri,FW,Morocco,25-200,Sevilla,1997,7,7,542,6,2,0,2,0,0
Zakaria Aboukhlal,FW,Morocco,22-303,Toulouse,2000,4,0,79,0.9,1,0,1,0,0
Andries Noppert,GK,Netherlands,28-255,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0
Cody Gakpo,FW,Netherlands,23-225,PSV Eindhoven,1999,5,5,450,5,3,0,3,0,0
Daley Blind,DF,Netherlands,32-284,Ajax,1990,5,5,423,4.7,1,1,1,0,0
Davy Klaassen,MF,Netherlands,29-300,Ajax,1993,4,3,190,2.1,1,2,1,0,0
Denzel Dumfries,DF,Netherlands,26-244,Inter,1996,5,5,479,5.3,1,2,1,2,1
Frenkie de Jong,MF,Netherlands,25-220,Barcelona,1997,5,5,475,5.3,1,1,1,1,0
Jurriën Timber,DF,Netherlands,21-184,Ajax,2001,4,4,390,4.3,0,0,0,1,0
Kenneth Taylor,MF,Netherlands,20-216,Ajax,2002,1,0,5,0.1,0,0,0,0,0
Luuk de Jong,FW,Netherlands,32-113,PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0
Marten de Roon,MF,Netherlands,31-264,Atalanta,1991,5,3,184,2,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-128,Bayern Munich,1999,2,1,91,1,0,0,0,1,0
Memphis,FW,Netherlands,28-308,Barcelona,1994,5,3,297,3.3,1,0,1,1,0
Nathan Aké,DF,Netherlands,27-303,Manchester City,1995,5,5,479,5.3,0,0,0,1,0
Noa Lang,MF,Netherlands,23-184,Club Brugge,1999,1,0,8,0.1,0,0,0,1,0
Steven Berghuis,MF,Netherlands,30-364,Ajax,1991,4,1,200,2.2,0,1,0,1,0
Steven Bergwijn,FW,Netherlands,25-071,Ajax,1997,4,3,213,2.4,0,0,0,1,0
Teun Koopmeiners,MF,Netherlands,24-293,Atalanta,1998,5,1,219,2.4,0,1,0,1,0
Vincent Janssen,FW,Netherlands,28-186,Antwerp,1994,2,1,86,1,0,0,0,0,0
Virgil van Dijk,DF,Netherlands,31-163,Liverpool,1991,5,5,480,5.3,0,0,0,0,0
Wout Weghorst,FW,Netherlands,30-133,Beşiktaş,1992,4,0,64,0.7,2,0,2,1,0
Xavi Simons,FW,Netherlands,19-241,PSV Eindhoven,2003,1,0,9,0.1,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-293,Juventus,1994,3,1,101,1.1,0,0,0,1,0
Artur Jędrzejczyk,DF,Poland,35-044,Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0
Bartosz Bereszyński,DF,Poland,30-159,Sampdoria,1992,4,4,341,3.8,0,0,0,1,0
Damian Szymański,MF,Poland,27-185,AEK Athens,1995,1,0,29,0.3,0,0,0,0,0
Grzegorz Krychowiak,MF,Poland,32-323,Al-Shabab,1990,4,4,332,3.7,0,0,0,1,0
Jakub Kamiński,MF,Poland,20-196,Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0
Jakub Kiwior,DF,Poland,22-306,Spezia,2000,4,4,355,3.9,0,0,0,1,0
Jan Bednarek,DF,Poland,26-250,Aston Villa,1996,1,0,5,0.1,0,0,0,0,0
Kamil Glik,DF,Poland,34-318,Benevento,1988,4,4,360,4,0,0,0,0,0
Kamil Grosicki,MF,Poland,34-193,Pogoń Szczecin,1988,1,0,4,0,0,0,0,0,0
Karol Świderski,FW,Poland,25-329,Charlotte,1997,1,1,45,0.5,0,0,0,0,0
Krystian Bielik,MF,Poland,24-348,Derby County,1998,4,2,216,2.4,0,0,0,0,0
Krzysztof Piątek,FW,Poland,27-170,Salernitana,1995,2,0,28,0.3,0,0,0,0,0
Matty Cash,DF,Poland,25-133,Aston Villa,1997,4,4,360,4,0,0,0,2,0
Michał Skóraś,MF,Poland,22-306,Lech Poznań,2000,1,0,45,0.5,0,0,0,0,0
Nicola Zalewski,MF,Poland,20-329,Roma,2002,2,1,65,0.7,0,0,0,0,0
Piotr Zieliński,MF,Poland,28-212,Napoli,1994,4,4,328,3.6,1,0,1,0,0
Przemysław Frankowski,MF,Poland,27-250,Lens,1995,4,3,240,2.7,0,0,0,1,0
Robert Lewandowski,FW,Poland,34-119,Barcelona,1988,4,4,360,4,2,1,1,0,0
Sebastian Szymański,MF,Poland,23-222,Feyenoord,1999,2,2,134,1.5,0,0,0,0,0
Wojciech Szczęsny,GK,Poland,32-244,Juventus,1990,4,4,360,4,0,0,0,0,0
André Silva,FW,Portugal,27-042,RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0
António Silva,DF,Portugal,19-049,Benfica,2003,1,1,90,1,0,0,0,0,0
Bernardo Silva,MF,Portugal,28-130,Manchester City,1994,5,4,356,4,0,0,0,0,0
Bruno Fernandes,FW,Portugal,28-101,Manchester Utd,1994,4,4,356,4,2,3,1,1,0
Cristiano Ronaldo,FW,Portugal,37-316,Manchester Utd,1985,5,3,290,3.2,1,0,0,0,0
Danilo Pereira,DF,Portugal,31-100,Paris S-G,1991,1,1,90,1,0,0,0,1,0
Diogo Costa,GK,Portugal,23-090,Porto,1999,5,5,450,5,0,0,0,0,0
Diogo Dalot,DF,Portugal,23-275,Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0
Gonçalo Ramos,FW,Portugal,21-181,Benfica,2001,4,2,152,1.7,3,1,3,0,0
João Cancelo,DF,Portugal,28-205,Manchester City,1994,4,3,310,3.4,0,0,0,0,0
João Félix,FW,Portugal,23-038,Atlético Madrid,1999,4,4,331,3.7,1,2,1,1,0
João Mário,FW,Portugal,29-333,Benfica,1993,2,1,84,0.9,0,0,0,0,0
João Palhinha,MF,Portugal,27-162,Fulham,1995,3,0,38,0.4,0,0,0,0,0
Matheus Nunes,MF,Portugal,24-113,Wolves,1998,2,1,73,0.8,0,0,0,0,0
Nuno Mendes,DF,Portugal,20-182,Paris S-G,2002,1,1,41,0.5,0,0,0,0,0
Otávio,MF,Portugal,27-312,Porto,1995,3,3,196,2.2,0,0,0,0,0
Pepe,DF,Portugal,39-295,Porto,1983,4,4,360,4,1,0,1,0,0
Rafael Leão,FW,Portugal,23-191,Milan,1999,5,0,88,1,2,0,2,0,0
Raphaël Guerreiro,DF,Portugal,28-361,Dortmund,1993,4,3,279,3.1,1,2,1,0,0
Ricardo Horta,FW,Portugal,28-094,Braga,1994,3,1,119,1.3,1,0,1,0,0
Rúben Dias,DF,Portugal,25-218,Manchester City,1997,4,4,360,4,0,0,0,1,0
Rúben Neves,MF,Portugal,25-280,Wolves,1997,5,4,268,3,0,0,0,1,0
Vitinha,MF,Portugal,22-308,Paris S-G,2000,3,1,120,1.3,0,0,0,1,0
William Carvalho,MF,Portugal,30-255,Betis,1992,4,2,215,2.4,0,0,0,0,0
Abdelkarim Hassan,DF,Qatar,29-112,Al Sadd SC,1993,3,3,270,3,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-051,Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29-321,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0
Akram Afif,FW,Qatar,26-030,Al Sadd SC,1996,3,3,270,3,0,0,0,1,0
Ali Assadalla,MF,Qatar,29-333,Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0
Almoez Ali,FW,Qatar,26-121,Al Duhail SC,1996,3,3,224,2.5,0,0,0,1,0
Assim Madibo,MF,Qatar,26-057,Al Duhail SC,1996,2,2,153,1.7,0,0,0,1,0
Bassam Al-Rawi,DF,Qatar,25-002,Al Duhail SC,1997,1,1,90,1,0,0,0,0,0
Boualem Khoukhi,DF,Qatar,32-162,Al Sadd SC,1990,3,3,270,3,0,0,0,0,0
Hassan Al-Haydos,MF,Qatar,32-007,Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0
Homam Ahmed,DF,Qatar,23-115,Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,1,0
Ismail Mohamad,FW,Qatar,32-257,Al Duhail SC,1990,2,2,174,1.9,0,1,0,1,0
Karim Boudiaf,MF,Qatar,32-093,Al Duhail SC,1990,3,2,185,2.1,0,0,0,1,0
Meshaal Barsham,GK,Qatar,24-307,Al Sadd SC,1998,2,2,180,2,0,0,0,0,0
Mohammed Muntari,FW,Qatar,28-363,Al Duhail SC,1993,3,0,63,0.7,1,0,1,0,0
Mohammed Waad,MF,Qatar,23-091,Al Sadd SC,1999,2,0,28,0.3,0,0,0,0,0
Musab Kheder,DF,Qatar,29-083,Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0
Ró-Ró,DF,Qatar,32-134,Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0
Saad Al Sheeb,GK,Qatar,32-302,Al Sadd SC,1990,1,1,90,1,0,0,0,1,0
Tarek Salman,DF,Qatar,25-013,Al Sadd SC,1997,1,0,8,0.1,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-337,Al-Nassr,1997,3,2,182,2,0,0,0,2,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-068,Al-Hilal,1994,2,2,174,1.9,0,0,0,2,0
Abdullah Madu,DF,Saudi Arabia,29-156,Al-Nassr,1993,1,0,45,0.5,0,0,0,1,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-200,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0
Ali Al Hassan,MF,Saudi Arabia,25-289,Al-Nassr,1997,1,1,45,0.5,0,0,0,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-027,Al-Hilal,1989,3,3,216,2.4,0,0,0,1,0
Asiri Haitham,FW,Saudi Arabia,21-268,Al-Ahli,2001,1,0,2,0,0,0,0,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-218,Al-Fateh,2000,3,3,268,3,0,1,0,0,0
Hassan Al Tambakti,DF,Saudi Arabia,23-312,Al-Shabab,1999,2,2,180,2,0,0,0,1,0
Hattan Bahebri,MF,Saudi Arabia,30-155,Al-Shabab,1992,2,0,4,0,0,1,0,1,0
Mohamed Kanno,MF,Saudi Arabia,28-087,Al-Hilal,1994,3,3,270,3,0,0,0,0,0
Mohammed Al-Breik,DF,Saudi Arabia,30-094,Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0
Mohammed Al-Owais,GK,Saudi Arabia,31-069,Al-Hilal,1991,3,3,270,3,0,0,0,1,0
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0
Nawaf Al Abed,MF,Saudi Arabia,32-326,Al-Shabab,1990,2,0,88,1,0,0,0,1,0
Riyadh Sharahili,MF,Saudi Arabia,29-234,Abha,1993,1,0,54,0.6,0,0,0,0,0
Saleh Al-Shehri,FW,Saudi Arabia,29-047,Al-Hilal,1993,3,3,223,2.5,1,0,1,1,0
Salem Al-Dawsari,MF,Saudi Arabia,31-121,Al-Hilal,1991,3,3,270,3,2,0,2,1,0
Salman Al-Faraj,MF,Saudi Arabia,33-139,Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0
Sami Al-Najei,MF,Saudi Arabia,25-314,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0
Saud Abdulhamid,DF,Saudi Arabia,23-153,Al-Hilal,1999,3,3,270,3,0,0,0,1,0
Sultan Al-Ghanam,DF,Saudi Arabia,28-226,Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0
Yasser Al-Shahrani,DF,Saudi Arabia,30-207,Al-Hilal,1992,1,1,89,1,0,0,0,0,0
Abdou Diallo,DF,Senegal,26-228,RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0
Bamba Dieng,FW,Senegal,22-270,Marseille,2000,4,0,100,1.1,1,0,1,0,0
Boulaye Dia,FW,Senegal,26-032,Salernitana,1996,4,4,318,3.5,1,0,1,1,0
Cheikhou Kouyaté,MF,Senegal,32-362,Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0
Edouard Mendy,GK,Senegal,30-292,Chelsea,1992,4,4,360,4,0,0,0,0,0
Famara Diedhiou,FW,Senegal,30-003,Alanyaspor,1992,2,1,92,1,1,0,1,0,0
Fodé Ballo-Touré,DF,Senegal,25-349,Milan,1997,1,0,7,0.1,0,0,0,0,0
Idrissa Gana Gueye,MF,Senegal,33-083,Everton,1989,3,3,270,3,0,0,0,2,0
Iliman Ndiaye,FW,Senegal,22-287,Sheffield Utd,2000,3,2,135,1.5,0,1,0,0,0
Ismail Jakobs,DF,Senegal,23-123,Monaco,1999,4,3,278,3.1,0,1,0,1,0
Ismaila Sarr,FW,Senegal,24-296,Watford,1998,4,4,344,3.8,1,0,0,0,0
Kalidou Koulibaly,DF,Senegal,31-181,Chelsea,1991,4,4,360,4,1,0,1,1,0
Krépin Diatta,FW,Senegal,23-296,Monaco,1999,3,3,181,2,0,0,0,0,0
Nampalys Mendy,MF,Senegal,30-178,Leicester City,1992,4,3,272,3,0,0,0,1,0
Nicolas Jackson,FW,Senegal,21-181,Villarreal,2001,1,0,17,0.2,0,0,0,0,0
Pape Abou Cissé,DF,Senegal,27-095,Olympiacos,1995,3,1,105,1.2,0,0,0,0,0
Pape Gueye,MF,Senegal,23-328,Marseille,1999,3,1,153,1.7,0,0,0,0,0
Pape Matar Sarr,MF,Senegal,20-095,Tottenham,2002,2,0,59,0.7,0,0,0,0,0
Pathé Ciss,MF,Senegal,28-277,Rayo Vallecano,1994,3,2,146,1.6,0,0,0,1,0
Youssouf Sabaly,DF,Senegal,29-288,Betis,1993,4,4,360,4,0,0,0,0,0
Aleksandar Mitrović,FW,Serbia,28-093,Fulham,1994,3,3,262,2.9,2,0,2,1,0
Andrija Živković,DF,Serbia,26-160,PAOK,1996,3,3,210,2.3,0,2,0,0,0
Darko Lazović,DF,Serbia,32-094,Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0
Dušan Tadić,MF,Serbia,34-028,Ajax,1988,3,3,257,2.9,0,2,0,0,0
Dušan Vlahović,FW,Serbia,22-324,Juventus,2000,2,1,79,0.9,1,0,1,0,0
Filip Kostić,DF,Serbia,30-047,Juventus,1992,2,2,179,2,0,0,0,0,0
Filip Mladenović,DF,Serbia,31-125,Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0
Filip Đuričić,MF,Serbia,30-322,Sampdoria,1992,2,0,14,0.2,0,0,0,0,0
Ivan Ilić,MF,Serbia,21-276,Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0
Luka Jović,FW,Serbia,24-360,Fiorentina,1997,1,0,36,0.4,0,0,0,1,0
Marko Grujić,MF,Serbia,26-249,Porto,1996,1,0,13,0.1,0,0,0,0,0
Miloš Veljković,DF,Serbia,27-083,Werder Bremen,1995,3,3,221,2.5,0,0,0,0,0
